1.58	614.93	0	0.01	35.5	35.45	35.5
25.4	778.47	0	0.01	43.1	41.35	43.1
121.98	724.07	0	0.01	37.55	37.48	37.55
64.32	627.1	0	0.01	34.08	34.08	34.08
277.29	613.03	0	0.01	38.07	37.78	38.07
17.52	637.28	0	0.01	11.8	11.8	11.8
17.97	628.24	0	0.01	10.83	10.83	10.83
95.1	623.68	0	0.01	7.67	7.32	7.67
170.17	594.88	0	0.01	10.5	10.05	10.5
315.62	613.88	0	0.01	10.85	9.52	10.85
117.42	553.85	0	0.01	22.42	22.42	22.42
103.07	581.25	0	0.01	26.3	25.62	26.3
104.53	585.35	0	0.01	22.4	22.12	22.4
173.06	601.47	0	0.01	29.38	29.38	29.38
387.8	568.51	0	0.01	21.25	21.25	21.25
13.48	608.37	0	0.01	18.27	17.67	18.27
87.8	610.48	0	0.01	19.18	18.58	19.18
116.1	564.21	0	0.01	20.25	19.67	20.25
211.86	606.34	0	0.01	20.42	20	20.42
407.47	602.68	0	0.01	17.53	17.53	17.53
93.56	672.54	0	0.01	30.27	29.55	30.27
159.88	828.03	0	0.01	31.47	31.12	31.47
426.53	686.45	0	0.01	30.4	28.94	30.4
324.53	647.15	0	0.01	26.82	26.02	26.82
299.23	693.85	0	0.01	34.65	31.47	34.65
4.08	654.27	0	0.01	18.8	18.18	18.8
62.48	616.23	0	0.01	16.46	16.34	16.46
441.73	620.27	0	0.01	16.23	16.23	16.23
497.73	625.33	0	0.01	17.57	17.57	17.57
506.15	615.48	0	0.01	20.65	20.65	20.65
154.53	593.65	0	0.01	20.57	20.57	20.57
384.2	585.84	0	0.01	35.77	33.22	35.77
711.02	615.58	0	0.01	28.5	26.75	28.5
513.27	618.47	0	0.01	18.85	18.85	18.85
361.37	595.5	0	0.01	23.62	22.52	23.62
