39.47	623.03	0	0.01	31.92	31.92	31.92
29.37	588.93	0	0.01	37.15	37.15	37.15
86	761.73	0	0.01	34.97	34.97	34.97
148.6	829.3	0	0.01	50.17	48.57	50.17
83.08	729.43	0	0.01	46.1	44.83	46.1
7.38	650.27	0	0.01	17.33	16.97	17.33
41.63	637.27	0	0.01	17.22	17.22	17.22
112.8	628.83	0	0.01	19.15	18.72	19.15
57.05	633.5	0	0.01	20.73	20.73	20.73
36.48	637.33	0	0.01	17.17	17.03	17.17
22	519.33	0	0.01	16.98	16.98	16.98
23.41	561	0	0.01	26.68	24.68	26.68
451.43	643.43	0	0.01	30.82	28.48	30.82
671.93	617.7	0	0.01	18.88	18.88	18.88
787.8	574.4	0	0.01	18.83	18.83	18.83
52.57	607.22	0	0.01	21.35	20.65	21.35
49.53	613.02	0	0.01	20.65	20.65	20.65
53.07	617.78	0	0.01	19.97	19.67	19.97
182.33	607.28	0	0.01	28.13	23.87	28.13
256.8	585.13	0	0.01	17.9	17.37	17.9
0	595.53	0	0.01	34.65	34.65	34.65
17.04	611.27	0	0.01	27.88	27.88	27.88
16.17	639.62	0	0.01	32.03	31.06	32.03
129.53	619.48	0	0.01	35.48	34.03	35.48
377.48	616.53	0	0.01	33.87	32.97	33.87
32.28	675.18	0	0.01	20.52	20.52	20.52
112.28	679.68	0	0.01	20.12	20.12	20.12
508.4	771.55	0	0.01	18.28	18.17	18.28
511.83	691.92	0	0.01	24.72	24.43	24.72
551.03	678.7	0	0.01	23.6	22.83	23.6
331.1	603.05	0	0.01	22.83	22.83	22.83
281.64	578.43	0	0.01	15.88	15.62	15.88
246.37	581.38	0	0.01	17.75	16.95	17.75
450.34	578.59	0	0.01	21.13	20.63	21.13
629.68	587.9	0	0.01	19.67	18.67	19.67
