31.73	823.58	0	0.01	39.65	39.23	39.65
228.78	984.08	0	0.01	41.15	40.63	41.15
293.94	812.44	0	0.01	41.24	39.27	41.24
187.48	694.45	0	0.01	35.52	35.52	35.52
234.68	635.13	0	0.01	35.75	34.45	35.75
1.5	624.9	0	0.01	9.88	8.85	9.88
68.6	614.58	0	0.01	8.6	7.62	8.6
168.33	618.25	0	0.01	6.65	5.83	6.65
216.95	631.93	0	0.01	7.38	6.98	7.38
149.55	614.37	0	0.01	7.95	7.95	7.95
89.43	577.15	0	0.01	25.48	25.48	25.48
11.78	593.93	0	0.01	23.45	23.45	23.45
80.52	564.4	0	0.01	23.77	23.59	23.77
194.12	562.45	0	0.01	25.97	24.98	25.97
154.38	567.75	0	0.01	19	18.68	19
120.93	588.62	0	0.01	20.72	20.05	20.72
38.6	583.88	0	0.01	21.08	20.78	21.08
309.08	595.35	0	0.01	24.58	24.58	24.58
348.95	582.55	0	0.01	21.78	21.78	21.78
199.62	575.83	0	0.01	19.58	19.58	19.58
31.87	612.85	0	0.01	28.12	27.33	28.12
159.36	674.5	0	0.01	31.32	31.32	31.32
355.45	749.38	0	0.01	32.45	32.45	32.45
449.48	714.78	0	0.01	31.8	31.6	31.8
512.92	647.38	0	0.01	37.67	36.37	37.67
164.15	650.43	0	0.01	15.57	15.57	15.57
476.42	633.97	0	0.01	14.3	14.3	14.3
450.45	632.37	0	0.01	17.28	16.65	17.28
296.18	625.47	0	0.01	21.92	19.95	21.92
148.78	633.68	0	0.01	15.67	15.27	15.67
38.25	606.22	0	0.01	29.72	29.13	29.72
29.55	616.15	0	0.01	26.62	25.87	26.62
9.32	606.53	0	0.01	23.6	23.6	23.6
9.35	586.1	0	0.01	20.8	19.73	20.8
2.4	577.32	0	0.01	24.28	23.75	24.28
