[03] , [5B] , [00] , [CD] , [E5] , [B0] , [B3] , [35] , 25:10:16:06:46:012
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:46:112
[02] , [5B] , [00] , [CE] , [32] , [32] , [59] , [CA] , 25:10:16:06:46:112
[03] , [5B] , [00] , [CE] , [E5] , [B0] , [B1] , [33] , 25:10:16:06:46:146
[01] , [5B] , [00] , [CF] , [69] , [03] , [3D] , [DC] , 25:10:16:06:46:212
[02] , [5B] , [00] , [CF] , [34] , [31] , [5A] , [CC] , 25:10:16:06:46:245
[03] , [5B] , [00] , [D0] , [E4] , [B1] , [AF] , [30] , 25:10:16:06:46:279
[01] , [5B] , [00] , [D0] , [69] , [02] , [3E] , [DE] , 25:10:16:06:46:346
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:46:479
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:46:479
[01] , [5B] , [00] , [D2] , [68] , [00] , [41] , [E3] , 25:10:16:06:46:479
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:46:545
[03] , [5C] , [00] , [D2] , [E4] , [B1] , [AE] , [2E] , 25:10:16:06:46:545
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:46:645
[02] , [5B] , [00] , [D3] , [36] , [30] , [5C] , [D1] , 25:10:16:06:46:645
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:46:745
[01] , [5B] , [00] , [D4] , [68] , [FF] , [42] , [E5] , 25:10:16:06:46:745
[02] , [5B] , [00] , [D5] , [35] , [30] , [5D] , [D2] , 25:10:16:06:46:779
[03] , [5C] , [00] , [D5] , [E7] , [AF] , [AD] , [2C] , 25:10:16:06:46:812
[01] , [5B] , [00] , [D6] , [67] , [FF] , [43] , [E6] , 25:10:16:06:46:879
[02] , [5B] , [00] , [D6] , [34] , [31] , [5D] , [D2] , 25:10:16:06:46:912
[03] , [5B] , [00] , [D6] , [E8] , [AE] , [AE] , [2C] , 25:10:16:06:46:945
[01] , [5B] , [00] , [D7] , [67] , [FF] , [44] , [E6] , 25:10:16:06:47:012
[02] , [5B] , [00] , [D7] , [34] , [31] , [5D] , [D2] , 25:10:16:06:47:045
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:47:145
[01] , [5B] , [00] , [D8] , [67] , [FF] , [45] , [E6] , 25:10:16:06:47:145
[02] , [5B] , [00] , [D9] , [33] , [32] , [5D] , [D2] , 25:10:16:06:47:178
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:47:278
[01] , [5B] , [00] , [DA] , [66] , [FE] , [46] , [E7] , 25:10:16:06:47:278
[02] , [5B] , [00] , [DA] , [32] , [33] , [5D] , [D2] , 25:10:16:06:47:311
[03] , [5C] , [00] , [DA] , [EE] , [AC] , [AF] , [2B] , 25:10:16:06:47:345
[01] , [5B] , [00] , [DB] , [66] , [FE] , [47] , [E7] , 25:10:16:06:47:411
[02] , [5B] , [00] , [DB] , [32] , [33] , [5D] , [D2] , 25:10:16:06:47:445
[03] , [5C] , [00] , [DC] , [F0] , [AA] , [B0] , [2B] , 25:10:16:06:47:478
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:47:578
[02] , [5B] , [00] , [DD] , [31] , [34] , [5D] , [D2] , 25:10:16:06:47:578
[03] , [5B] , [00] , [DD] , [F2] , [A9] , [B1] , [2B] , 25:10:16:06:47:612
[01] , [5B] , [00] , [DE] , [64] , [FE] , [49] , [E6] , 25:10:16:06:47:678
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:47:745
[03] , [5B] , [00] , [DE] , [F3] , [A8] , [B1] , [2B] , 25:10:16:06:47:745
[01] , [5B] , [00] , [DF] , [63] , [FF] , [49] , [E6] , 25:10:16:06:47:811
[02] , [5B] , [00] , [DF] , [30] , [36] , [5C] , [D1] , 25:10:16:06:47:845
[03] , [5C] , [00] , [E0] , [F6] , [A7] , [B2] , [2B] , 25:10:16:06:47:878
[01] , [5C] , [00] , [E0] , [63] , [FF] , [4A] , [E6] , 25:10:16:06:47:945
[02] , [5B] , [00] , [E1] , [2F] , [37] , [5C] , [D1] , 25:10:16:06:47:978
[03] , [5B] , [00] , [E1] , [F7] , [A6] , [B3] , [2B] , 25:10:16:06:48:011
[01] , [5B] , [00] , [E2] , [61] , [FF] , [4C] , [E6] , 25:10:16:06:48:078
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:48:144
[03] , [5B] , [00] , [E2] , [F9] , [A5] , [B4] , [2B] , 25:10:16:06:48:144
[01] , [5B] , [00] , [E3] , [61] , [FF] , [4D] , [E7] , 25:10:16:06:48:211
[02] , [5B] , [00] , [E3] , [2F] , [38] , [5C] , [D1] , 25:10:16:06:48:244
[03] , [5B] , [00] , [E4] , [FB] , [A4] , [B5] , [2A] , 25:10:16:06:48:277
[01] , [5B] , [00] , [E4] , [60] , [FF] , [4E] , [E6] , 25:10:16:06:48:344
[02] , [5B] , [00] , [E5] , [2F] , [38] , [5B] , [D0] , 25:10:16:06:48:377
[03] , [5B] , [00] , [E5] , [FC] , [A3] , [B5] , [29] , 25:10:16:06:48:411
[01] , [5C] , [00] , [E6] , [5F] , [FF] , [4F] , [E6] , 25:10:16:06:48:477
[02] , [5B] , [00] , [E6] , [2E] , [39] , [5A] , [D0] , 25:10:16:06:48:511
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:48:577
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:48:644
[02] , [5B] , [00] , [E7] , [2E] , [3A] , [5A] , [D0] , 25:10:16:06:48:644
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:48:744
[01] , [5B] , [00] , [E8] , [5E] , [FE] , [51] , [E8] , 25:10:16:06:48:744
