[03] , [5A] , [00] , [1C] , [F4] , [74] , [F1] , [D2] , 25:10:15:25:56:973
[01] , [5B] , [00] , [1C] , [0B] , [6E] , [1B] , [CA] , 25:10:15:25:57:040
[02] , [5A] , [00] , [1D] , [F1] , [73] , [01] , [CF] , 25:10:15:25:57:073
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:57:173
[01] , [5A] , [00] , [1E] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:57:173
[02] , [5A] , [00] , [1E] , [F0] , [73] , [01] , [CF] , 25:10:15:25:57:206
[03] , [5B] , [00] , [1E] , [F3] , [74] , [F0] , [D3] , 25:10:15:25:57:239
[01] , [5B] , [00] , [1F] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:57:306
[02] , [5A] , [00] , [1F] , [F1] , [73] , [01] , [CF] , 25:10:15:25:57:339
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:57:439
[01] , [5B] , [00] , [20] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:57:439
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:57:506
[03] , [5B] , [00] , [21] , [F3] , [74] , [F0] , [D3] , 25:10:15:25:57:506
[01] , [5B] , [00] , [22] , [0B] , [6E] , [1B] , [CA] , 25:10:15:25:57:573
[02] , [5A] , [00] , [22] , [F1] , [73] , [02] , [CF] , 25:10:15:25:57:606
[03] , [5A] , [00] , [22] , [F3] , [74] , [F0] , [D3] , 25:10:15:25:57:639
[01] , [5B] , [00] , [23] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:57:706
[02] , [5A] , [00] , [23] , [F1] , [73] , [02] , [CF] , 25:10:15:25:57:739
[03] , [5A] , [00] , [24] , [F3] , [74] , [F0] , [D3] , 25:10:15:25:57:772
[01] , [5B] , [00] , [24] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:57:839
[02] , [5A] , [00] , [25] , [F1] , [73] , [01] , [CF] , 25:10:15:25:57:872
[03] , [5A] , [00] , [25] , [F3] , [74] , [F0] , [D3] , 25:10:15:25:57:906
[01] , [5B] , [00] , [26] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:57:972
[02] , [5A] , [00] , [26] , [F1] , [73] , [01] , [CF] , 25:10:15:25:58:005
[03] , [5A] , [00] , [26] , [F3] , [74] , [F0] , [D3] , 25:10:15:25:58:039
[01] , [5B] , [00] , [27] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:58:106
[02] , [5A] , [00] , [27] , [F1] , [73] , [01] , [CF] , 25:10:15:25:58:139
[03] , [5A] , [00] , [28] , [F3] , [74] , [F0] , [D3] , 25:10:15:25:58:172
[01] , [5B] , [00] , [28] , [0B] , [6E] , [1B] , [C9] , 25:10:15:25:58:239
[02] , [5A] , [00] , [29] , [F0] , [73] , [02] , [CE] , 25:10:15:25:58:272
[03] , [5B] , [00] , [29] , [F2] , [74] , [EF] , [D3] , 25:10:15:25:58:306
[01] , [5A] , [00] , [2A] , [0C] , [6E] , [1B] , [C9] , 25:10:15:25:58:372
[02] , [5A] , [00] , [2A] , [EF] , [75] , [00] , [D2] , 25:10:15:25:58:405
