[02] , [5B] , [00] , [05] , [DB] , [70] , [F2] , [D4] , 25:10:16:42:15:833
[03] , [5B] , [00] , [05] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:15:866
[01] , [5C] , [00] , [06] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:15:933
[02] , [5B] , [00] , [07] , [DC] , [70] , [F3] , [D4] , 25:10:16:42:15:966
[03] , [5C] , [00] , [07] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:15:999
[01] , [5B] , [00] , [08] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:16:066
[02] , [5B] , [00] , [08] , [DC] , [70] , [F3] , [D4] , 25:10:16:42:16:099
[03] , [5C] , [00] , [08] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:16:133
[01] , [5B] , [00] , [09] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:16:199
[02] , [5B] , [00] , [09] , [DC] , [70] , [F3] , [D4] , 25:10:16:42:16:233
[03] , [5B] , [00] , [09] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:16:266
[01] , [5B] , [00] , [0A] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:16:333
[02] , [5B] , [00] , [0B] , [DC] , [70] , [F4] , [D3] , 25:10:16:42:16:366
[03] , [5B] , [00] , [0B] , [0F] , [8C] , [1E] , [25] , 25:10:16:42:16:399
[01] , [5B] , [00] , [0C] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:16:466
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:16:532
[03] , [5B] , [00] , [0C] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:16:532
[01] , [5C] , [00] , [0D] , [0D] , [6C] , [22] , [CA] , 25:10:16:42:16:599
[02] , [5B] , [00] , [0D] , [DC] , [70] , [F4] , [D3] , 25:10:16:42:16:632
[03] , [5B] , [00] , [0D] , [0F] , [8C] , [1E] , [25] , 25:10:16:42:16:666
[01] , [5B] , [00] , [0E] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:16:732
[02] , [5B] , [00] , [0F] , [DD] , [70] , [F5] , [D3] , 25:10:16:42:16:766
[03] , [5B] , [00] , [0F] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:16:799
[01] , [5B] , [00] , [10] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:16:865
[02] , [5B] , [00] , [10] , [DD] , [70] , [F5] , [D3] , 25:10:16:42:16:899
[03] , [5B] , [00] , [10] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:16:932
[01] , [5C] , [00] , [11] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:16:999
[02] , [5B] , [00] , [11] , [DD] , [70] , [F5] , [D3] , 25:10:16:42:17:032
[03] , [5B] , [00] , [11] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:17:065
[01] , [5C] , [00] , [12] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:17:132
[02] , [5C] , [00] , [13] , [DD] , [70] , [F6] , [D3] , 25:10:16:42:17:165
[03] , [5C] , [00] , [13] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:17:199
[01] , [5C] , [00] , [14] , [0E] , [6C] , [23] , [CA] , 25:10:16:42:17:265
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:17:332
[03] , [5B] , [00] , [14] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:17:332
[01] , [5C] , [00] , [15] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:17:399
[02] , [5C] , [00] , [15] , [DE] , [70] , [F6] , [D3] , 25:10:16:42:17:432
[03] , [5B] , [00] , [15] , [0F] , [8C] , [1F] , [26] , 25:10:16:42:17:465
[01] , [5C] , [00] , [16] , [0E] , [6C] , [23] , [CA] , 25:10:16:42:17:532
[02] , [5B] , [00] , [17] , [DF] , [71] , [F6] , [D3] , 25:10:16:42:17:565
[03] , [5C] , [00] , [17] , [0F] , [8C] , [1E] , [25] , 25:10:16:42:17:599
[01] , [5B] , [00] , [18] , [0E] , [6C] , [23] , [CA] , 25:10:16:42:17:665
[02] , [5B] , [00] , [18] , [DF] , [71] , [F7] , [D3] , 25:10:16:42:17:699
[03] , [5B] , [00] , [18] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:17:732
[01] , [5B] , [00] , [19] , [0E] , [6C] , [23] , [CA] , 25:10:16:42:17:799
[02] , [5B] , [00] , [19] , [DF] , [71] , [F7] , [D3] , 25:10:16:42:17:832
[03] , [5B] , [00] , [19] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:17:865
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:17:965
[02] , [5B] , [00] , [1B] , [E0] , [71] , [F8] , [D3] , 25:10:16:42:17:965
[03] , [5B] , [00] , [1B] , [0F] , [8C] , [1E] , [25] , 25:10:16:42:17:999
[01] , [5C] , [00] , [1C] , [0E] , [6C] , [23] , [CA] , 25:10:16:42:18:065
