26.68	7.79	31.58	8.49	22.25	11.32	31.58	16.67	36.4	35.29	38.75	40
15.38	8.83	14.93	28.57	37.5	11.11	28.57	12.63	10.53	35.29	17.65	33.33
27.27	8.7	30	20	27.27	21.83	30	26.09	37.5	36.4	18.75	12
37.5	10.08	17.65	20	37.5	40	30.79	26.09	37.5	14.46	16.22	10.91
37.5	4.53	17.91	18.75	30	20	33.33	21.43	37.5	30	11.76	11.76
35.29	10.71	15.59	10.26	37.5	18.75	35.29	30	31.58	10.17	9.23	19.35
37.5	10.91	14.63	15.38	40	17.65	28.57	26.09	36.4	9.52	10.71	19.35
33.33	33.33	14.63	16.67	35.29	18.75	18.47	27.27	37.5	9.31	33.33	37.5
14.29	10.34	17.14	15.79	20.69	20.69	12.24	28.57	33.33	18.18	10.34	19.35
15	9.38	17.14	10	20.69	17.65	17.65	26.09	28.57	8.28	10.17	37.5
35.29	4.96	15.79	15.79	37.5	20	9.45	9.68	37.5	18.75	11.11	31.58
12.24	9.38	16.22	15.38	10	26.09	10.71	9.68	37.5	10.17	11.11	35.29
8.82	9.38	16.67	18.75	10.71	20	12	9.68	37.5	10.44	10.71	26.09
16.22	4.7	17.65	16.22	18.18	20	11.54	30	35.29	10.17	8.33	33.33
15.79	6.12	16.22	10.71	20.69	37.5	12	28.57	10.17	10.17	11.11	26.09
33.33	35.29	14.29	15	19.35	18.75	7.79	9.52	18.75	8.7	10.91	18.75
16.67	17.14	12.77	28.57	10.53	31.58	10.34	22.65	20	10.17	9.16	24
16.67	17.65	13.64	15.38	37.5	11.11	8.22	22.22	11.11	9.52	10.53	24
13.95	5.61	9.84	15.38	20	14.63	17.65	9.68	11.54	10.53	8.82	19.35
15.79	5.51	16.67	15.38	20	18.75	12	23.08	11.11	18.18	10.71	31.58
17.65	7.41	17.65	15	17.65	18.18	19.35	7.14	20	7.55	8.57	33.33
17.14	8.45	16.9	14.63	33.33	16.67	35.29	14.29	18.18	9.52	9.23	31.58
16.44	8.45	31.58	9.68	10.53	18.75	18.75	5.88	35.29	10.91	9.3	10.34
17.14	7.14	12.5	14.29	10.91	35.29	18.75	6.9	20	10.17	10.71	10.91
15.38	5	12.77	10.34	10.17	31.58	19.35	25	20	10.17	8.7	33.33
10.71	6.12	33.33	9.84	10.91	17.65	10.34	10	18.18	10.17	10.17	19.35
10.71	8.22	16.67	10.34	10.34	18.75	10.91	9.84	19.35	37.5	8.7	19.35
10	7.59	16.22	15.38	33.33	19.35	11.32	10	10	11.11	37.5	19.35
16.67	5.58	14.29	15.38	35.29	20	11.11	9.68	11.11	10.91	10.91	18.75
10.71	6.98	15	28.57	10.17	20	10.91	9.68	17.14	10.17	35.29	19.35
9.09	9.84	12.77	16.22	10.17	8.45	8.82	23.08	37.5	11.11	35.29	19.35
15.79	17.14	27.27	16.22	10.17	18.18	10.53	23.08	20	18.75	33.33	11.32
10.26	35.29	27.27	16.22	10.91	18.75	10	10	18.18	7.79	18.75	35.29
10.71	3.96	30	10	10.91	19.05	11.32	9.68	19.35	11.11	10.91	11.11
16.44	3.85	30	7.23	10	37.5	10.71	23.08	17.65	9.68	9.52	10.34
