ID Patient: Soggetto1
Info recording: 
Real time postures and extra info recording:
Recording started at: 20:10:16:23:55:647

START:
6;60;25.0;47.0;100831;64;522;0.01;0.0;38.0;41.0;42.0;1;1;1;2;20/10/2022;16:38:45;45.4785304;9.2317437;
6;61;26.0;47.0;100831;236;577;0.01;0.0;39.0;42.0;43.0;1;2;2;2;20/10/2022;16:39:1;45.4785221;9.2317549;
6;62;26.0;47.0;100831;489;552;0.01;12.76;33.0;35.0;36.0;1;2;2;2;20/10/2022;16:39:27;45.4785217;9.2317587;
6;63;26.0;46.0;100831;497;481;0.01;0.0;32.0;35.0;35.0;1;1;1;1;20/10/2022;16:39:51;45.4784607;9.2316322;
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
