545.33	886	0	0.01	7.68	6.7	7.68	698.17	1434.2	0	0.01	5.32	5.32	5.32
651.93	886.95	0	0.01	5.17	4.7	5.17	827.92	1296.48	0	0.01	6.45	5.9	6.45
640.93	893.48	0	0.01	6.3	5.07	6.3	871.28	1307.48	0	0.01	6.95	5.27	6.95
626.67	884.3	0	0.01	5.07	4.5	5.07	892.95	1354.4	0	0.01	5.6	5.57	5.6
591.93	870.9	0	0.01	6.27	6.27	6.27	916.68	1412.57	0	0.01	2.53	2.53	2.53
21.08	586.88	0	0.01	10.89	10.89	10.89	15.45	596.68	0	0.01	24.56	22.6	24.56
30.75	613.45	0	0.01	6.58	6.58	6.58	99.08	572.52	0	0.01	22.05	22.05	22.05
127.3	610.92	0	0.01	5.07	5.07	5.07	191.05	569.73	0	0.01	24.17	23.56	24.17
203.23	631.68	0	0.01	4.07	4.07	4.07	194.05	564.07	0	0.01	25.11	23.48	25.11
790.2	613.5	0	0.01	6.04	6.04	6.04	247.7	584.67	0	0.01	27.75	26.71	27.75
1.5	624.9	0	0.01	9.88	8.85	9.88	89.43	577.15	0	0.01	25.48	25.48	25.48
68.6	614.58	0	0.01	8.6	7.62	8.6	11.78	593.93	0	0.01	23.45	23.45	23.45
168.33	618.25	0	0.01	6.65	5.83	6.65	80.52	564.4	0	0.01	23.77	23.59	23.77
216.95	631.93	0	0.01	7.38	6.98	7.38	194.12	562.45	0	0.01	25.97	24.98	25.97
149.55	614.37	0	0.01	7.95	7.95	7.95	154.38	567.75	0	0.01	19	18.68	19
17.52	637.28	0	0.01	11.8	11.8	11.8	117.42	553.85	0	0.01	22.42	22.42	22.42
17.97	628.24	0	0.01	10.83	10.83	10.83	103.07	581.25	0	0.01	26.3	25.62	26.3
95.1	623.68	0	0.01	7.67	7.32	7.67	104.53	585.35	0	0.01	22.4	22.12	22.4
170.17	594.88	0	0.01	10.5	10.05	10.5	173.06	601.47	0	0.01	29.38	29.38	29.38
315.62	613.88	0	0.01	10.85	9.52	10.85	387.8	568.51	0	0.01	21.25	21.25	21.25
8.8	637.08	0	0.01	16.38	15.45	16.38	58.62	595	0	0.01	24.2	24.2	24.2
70	626.22	0	0.01	7.98	7.22	7.98	6	578.35	0	0.01	20.6	20.6	20.6
88.32	610.77	0	0.01	14.35	12.45	14.35	85.79	576.88	0	0.01	24.21	24.21	24.21
115.18	611.67	0	0.01	12.45	11.48	12.45	204.75	577.37	0	0.01	22.96	22	22.96
86.45	589.23	0	0.01	11.27	11.27	11.27	177.62	518	0	0.01	25.51	25.51	25.51
7.38	650.27	0	0.01	17.33	16.97	17.33	0	519.33	0	0.01	16.98	16.98	16.98
41.63	637.27	0	0.01	17.22	17.22	17.22	23.41	561	0	0.01	26.68	24.68	26.68
112.8	628.83	0	0.01	19.15	18.72	19.15	451.43	643.43	0	0.01	30.82	28.48	30.82
57.05	633.5	0	0.01	20.73	20.73	20.73	671.93	617.7	0	0.01	18.88	18.88	18.88
36.48	637.33	0	0.01	17.17	17.03	17.17	787.8	574.4	0	0.01	18.83	18.83	18.83
5.87	659.62	0	0.01	15.73	15.73	15.73	72.78	590.68	0	0.01	19.18	19.18	19.18
27.87	636.82	0	0.01	17.2	17.2	17.2	304.05	580.45	0	0.01	20.65	20.65	20.65
90.22	637.9	0	0.01	17.57	17.57	17.57	644.35	571.27	0	0.01	18.28	18.28	18.28
169.55	617.43	0	0.01	16.23	16.2	16.23	1235.25	604.57	0	0.01	17.05	17.05	17.05
185.92	613.18	0	0.01	19.08	17.6	19.08	1340.08	618.53	0	0.01	15.35	15.35	15.35
857.76	820.1	0	0.01	12.87	12.47	12.87	506.43	929.8	0	0.01	14.8	14.8	14.8
965.65	831.57	0	0.01	5.55	5.55	5.55	548.08	873.35	0	0.01	13.94	13.94	13.94
1002.82	888.1	0	0.01	11.28	10.88	11.28	543.92	806.12	0	0.01	17.28	17.28	17.28
