[02] , [5B] , [00] , [F4] , [17] , [8E] , [FD] , [31] , 25:10:15:53:10:975
[03] , [5B] , [00] , [F5] , [02] , [75] , [1A] , [D7] , 25:10:15:53:11:008
[01] , [5C] , [00] , [F5] , [D5] , [9E] , [E5] , [3D] , 25:10:15:53:11:075
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:11:141
[03] , [5B] , [00] , [F6] , [02] , [75] , [19] , [D7] , 25:10:15:53:11:141
[01] , [5B] , [00] , [F7] , [D6] , [9E] , [E5] , [3D] , 25:10:15:53:11:208
[02] , [5B] , [00] , [F7] , [16] , [8E] , [FD] , [30] , 25:10:15:53:11:241
[03] , [5B] , [00] , [F7] , [01] , [75] , [18] , [D7] , 25:10:15:53:11:274
[01] , [5B] , [00] , [F8] , [D7] , [9D] , [E5] , [3D] , 25:10:15:53:11:341
[02] , [5B] , [00] , [F8] , [17] , [8E] , [FE] , [30] , 25:10:15:53:11:375
[03] , [5B] , [00] , [F9] , [01] , [75] , [18] , [D7] , 25:10:15:53:11:408
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:11:508
[02] , [5B] , [00] , [FA] , [15] , [8E] , [FF] , [32] , 25:10:15:53:11:508
[03] , [5C] , [00] , [FA] , [01] , [75] , [18] , [D7] , 25:10:15:53:11:541
[01] , [5C] , [00] , [FB] , [D6] , [9E] , [E4] , [3E] , 25:10:15:53:11:608
[02] , [5B] , [00] , [FB] , [13] , [8E] , [FF] , [33] , 25:10:15:53:11:641
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:11:741
[01] , [5B] , [00] , [FC] , [D5] , [9E] , [E4] , [3D] , 25:10:15:53:11:741
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:11:808
[03] , [5C] , [00] , [FD] , [02] , [75] , [19] , [D7] , 25:10:15:53:11:808
[01] , [5B] , [00] , [FD] , [D5] , [9F] , [E4] , [3D] , 25:10:15:53:11:874
[02] , [5B] , [00] , [FE] , [13] , [8E] , [FD] , [32] , 25:10:15:53:11:908
[03] , [5B] , [00] , [FE] , [01] , [75] , [18] , [D7] , 25:10:15:53:11:941
[01] , [5C] , [00] , [FF] , [D6] , [9F] , [E3] , [3E] , 25:10:15:53:12:008
[02] , [5B] , [00] , [FF] , [13] , [8E] , [FD] , [32] , 25:10:15:53:12:041
[03] , [5B] , [00] , [FF] , [00] , [75] , [18] , [D7] , 25:10:15:53:12:074
[01] , [5B] , [00] , [00] , [D6] , [9E] , [E3] , [3E] , 25:10:15:53:12:141
[02] , [5B] , [00] , [00] , [12] , [8E] , [FE] , [32] , 25:10:15:53:12:174
[03] , [5C] , [00] , [01] , [00] , [75] , [16] , [D6] , 25:10:15:53:12:207
[01] , [5B] , [00] , [01] , [D7] , [9E] , [E3] , [3D] , 25:10:15:53:12:274
[02] , [5B] , [00] , [02] , [13] , [8E] , [FE] , [32] , 25:10:15:53:12:307
[03] , [5B] , [00] , [02] , [00] , [75] , [16] , [D7] , 25:10:15:53:12:341
[01] , [5B] , [00] , [03] , [D8] , [9E] , [E4] , [3E] , 25:10:15:53:12:407
[02] , [5B] , [00] , [03] , [14] , [8E] , [FE] , [32] , 25:10:15:53:12:441
[03] , [5B] , [00] , [03] , [00] , [75] , [16] , [D7] , 25:10:15:53:12:474
[01] , [5B] , [00] , [04] , [D9] , [9D] , [E4] , [3F] , 25:10:15:53:12:540
[02] , [5B] , [00] , [04] , [14] , [8E] , [FD] , [32] , 25:10:15:53:12:574
[03] , [5B] , [00] , [05] , [00] , [76] , [15] , [D7] , 25:10:15:53:12:607
[01] , [5B] , [00] , [05] , [DA] , [9D] , [E5] , [3F] , 25:10:15:53:12:674
[02] , [5A] , [00] , [06] , [15] , [8E] , [FD] , [32] , 25:10:15:53:12:707
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:12:807
[01] , [5B] , [00] , [07] , [DB] , [9C] , [E5] , [3F] , 25:10:15:53:12:807
[02] , [5B] , [00] , [07] , [15] , [8E] , [FD] , [32] , 25:10:15:53:12:840
[03] , [5B] , [00] , [07] , [00] , [76] , [15] , [D8] , 25:10:15:53:12:874
[01] , [5B] , [00] , [08] , [DB] , [9C] , [E6] , [3E] , 25:10:15:53:12:974
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:13:040
[03] , [5B] , [00] , [09] , [01] , [76] , [15] , [D8] , 25:10:15:53:13:040
[01] , [5C] , [00] , [0A] , [DB] , [9C] , [E6] , [3E] , 25:10:15:53:13:107
[02] , [5B] , [00] , [0A] , [14] , [8E] , [FC] , [32] , 25:10:15:53:13:140
[03] , [5B] , [00] , [0A] , [01] , [76] , [15] , [D8] , 25:10:15:53:13:173
[01] , [5B] , [00] , [0B] , [DB] , [9C] , [E6] , [3D] , 25:10:15:53:13:240
[02] , [5B] , [00] , [0B] , [14] , [8E] , [FC] , [32] , 25:10:15:53:13:273
[03] , [5B] , [00] , [0C] , [01] , [76] , [15] , [D8] , 25:10:15:53:13:307
[01] , [5B] , [00] , [0C] , [DB] , [9B] , [E6] , [3D] , 25:10:15:53:13:373
[02] , [5B] , [00] , [0D] , [14] , [8E] , [FC] , [32] , 25:10:15:53:13:407
[03] , [5B] , [00] , [0D] , [02] , [76] , [15] , [D9] , 25:10:15:53:13:440
[01] , [5C] , [00] , [0E] , [DC] , [9B] , [E6] , [3D] , 25:10:15:53:13:507
