26;51;98910;649;1137;0.01;0;1;1;2;26
27;50;98909;609;1075;0.01;0;0;0;0;50
27;49;98910;635;1168;0.01;0;0;1;1;74
28;48;98910;667;1091;0.01;0;0;2;4;98
28;48;98910;638;1057;0.01;0;2;3;4;122
28;47;98910;645;1011;0.01;0;2;3;4;158
28;47;98910;0;0;0;0;0;1;3;176
28;47;98910;601;982;0.01;0;1;1;2;192
28;46;98910;593;1014;0.01;0;1;1;2;216
28;46;98910;590;971;0.01;0;0;0;0;240
28;46;98910;589;969;0.01;0;0;2;5;268
28;46;98910;578;953;0.01;0;0;2;5;302
28;45;98910;554;925;0.01;0;0;4;8;326
28;45;98910;436;1002;0.01;0;1;1;1;350
29;44;98909;451;1184;0.01;0;1;2;3;374
29;44;98908;422;1159;0.01;0;0;1;1;410
29;43;98908;291;1070;0.01;0;2;6;11;422
29;42;98908;226;1017;0.01;0;2;6;11;446
28;41;98908;184;786;0.01;0;1;2;4;470
28;40;98912;137;827;0.01;0;3;3;4;492
27;38;98919;7;623;0.01;0;3;3;4;520
27;38;98924;0;604;0.01;0;0;2;5;546
26;37;98930;0;599;0.01;0;0;2;5;566
26;37;98935;0;563;0.01;0;0;2;5;602
0;0;0;2;578;0.01;0;1;1;2;644
0;0;0;3;538;0.01;0;0;0;0;648
25;37;98950;25;560;0.01;0;0;0;0;672
25;37;98955;31;505;0.01;0;0;0;0;696
24;37;98959;14;477;0.01;0;1;1;2;720
24;37;98963;6;546;0.01;0;1;1;2;748
24;38;98967;16;548;0.01;0;1;1;1;772
24;38;98970;0;0;0;0;0;0;1;792
24;38;98974;10;495;0.01;0;0;0;1;824
23;38;98977;24;584;0.01;0;0;1;2;846
23;38;98980;0;0;0;0;0;0;0;866
23;39;98982;2;565;0.01;0;0;1;1;904
22;39;98985;3;559;0.01;0;2;3;4;928
22;40;98987;0;590;0.01;0;1;2;3;952
22;40;98990;9;600;0.01;0;0;1;1;976
23;39;98992;103;535;0.01;0;0;0;0;1008
23;39;98993;347;550;0.01;0;0;1;1;1028
23;39;98995;441;556;0.01;0;0;1;1;1044
24;39;98996;385;554;0.01;0;2;5;9;1068
24;39;98998;352;530;0.01;0;1;1;1;1092
24;38;98999;310;538;0.01;0;1;1;1;1116
24;38;99000;249;534;0.01;0;0;1;1;1144
24;38;99001;243;568;0.01;0;1;1;1;1164
23;39;99002;244;541;0.01;0;1;1;1;1200
23;39;99003;315;571;0.01;0;0;0;0;1226
24;39;99004;445;545;0.01;0;1;1;2;1254
24;39;99005;829;546;0.01;0;1;1;1;1274
24;39;99005;976;492;0.01;0;0;0;0;1298
24;39;99005;411;556;0.01;0;1;2;2;1322
23;39;99005;175;496;0.01;0;1;2;2;1362
0;0;0;115;623;0.01;0;0;0;0;1366
22;40;99006;86;527;0.01;0;0;1;2;1392
22;40;99006;45;596;0.01;0;0;1;2;1416
21;41;99006;3;613;0.01;0;1;1;1;1440
21;41;99006;2;536;0.01;0;1;1;1;1476
21;42;99006;1;582;0.01;0;1;1;1;1500
20;43;99005;0;541;0.01;0;0;0;0;1528
21;43;99005;3;621;0.01;0;1;1;2;1552
21;42;99004;0;549;0.01;0;1;1;1;1582
21;42;99004;0;461;0.01;0;0;0;0;1594
21;42;99004;0;528;0.01;0;2;2;2;1618
21;42;99004;12;656;0.01;0;2;2;2;1642
21;42;99003;22;574;0.01;0;2;2;3;1666
21;42;99002;95;574;0.01;0;0;0;0;1710
0;0;0;252;551;0.01;0;0;0;0;1714
22;42;99000;544;651;0.01;0;2;2;2;1738
22;41;99000;667;654;0.01;0;2;2;2;1762
22;41;98999;772;636;0.01;0;2;2;2;1798
22;41;98998;921;599;0.01;0;3;3;3;1834
23;41;98998;886;556;0.01;0;0;1;1;1846
23;40;98997;491;548;0.01;0;1;1;1;1870
23;40;98997;557;556;0.01;0;1;2;2;1894
24;40;98996;962;641;0.01;0;1;1;2;1918
24;40;98996;798;623;0.01;0;1;1;2;1944
24;40;98996;1104;563;0.01;0;0;1;2;1972
24;40;98995;745;572;0.01;0;2;5;7;1992
23;40;98995;322;565;0.01;0;2;4;7;2016
22;40;98996;150;674;0.01;0;1;6;12;2040
21;40;98996;43;562;0.01;0;1;6;12;2070
21;41;98997;18;500;0.01;0;1;6;12;2098
21;41;98997;19;585;0.01;0;1;3;6;2124
20;43;98998;24;674;0.01;0;2;2;2;2152
20;43;98998;1;572;0.01;0;0;0;0;2184
20;43;98997;0;0;0;0;0;0;0;2196
20;43;98997;2;525;0.01;0;1;1;1;2220
20;43;98997;0;575;0.01;0;1;1;1;2244
20;43;98997;0;665;0.01;0;0;2;4;2268
20;44;98997;0;569;0.01;0;1;1;1;2296
20;43;98997;2;595;0.01;0;1;1;1;2320
20;43;98997;43;641;0.01;0;0;0;0;2344
20;43;98996;16;596;0.01;0;0;1;1;2370
20;43;98996;4;586;0.01;0;0;1;1;2398
20;43;98996;23;540;0.01;0;0;1;2;2436
20;43;98996;0;597;0.01;0;0;1;1;2448
21;42;98996;27;572;0.01;0;0;1;2;2472
21;42;98995;102;589;0.01;0;1;1;2;2496
21;42;98995;285;600;0.01;0;1;1;2;2520
22;41;98995;501;606;0.01;0;1;1;2;2552
22;41;98995;384;591;0.01;0;0;1;3;2572
22;41;98994;673;598;0.01;0;0;1;1;2592
22;41;98994;1024;602;0.01;0;0;1;1;2624
22;41;98993;1003;558;0.01;0;1;2;3;2638
23;41;98994;992;581;0.01;0;1;1;1;2662
23;41;98994;745;579;0.01;0;1;1;1;2698
23;41;98993;798;567;0.01;0;0;1;2;2738
