[01] , [5B] , [00] , [99] , [04] , [85] , [06] , [1C] , 25:10:11:14:11:013
[02] , [5A] , [00] , [9A] , [00] , [8C] , [0F] , [30] , 25:10:11:14:11:047
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:11:146
[01] , [5B] , [00] , [9B] , [04] , [85] , [06] , [1C] , 25:10:11:14:11:146
[02] , [5B] , [00] , [9B] , [01] , [8C] , [0F] , [30] , 25:10:11:14:11:180
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:11:246
[01] , [5B] , [00] , [9C] , [04] , [85] , [06] , [1C] , 25:10:11:14:11:280
[02] , [5B] , [00] , [9C] , [00] , [8C] , [0E] , [30] , 25:10:11:14:11:313
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:11:413
[01] , [5A] , [00] , [9D] , [03] , [85] , [05] , [1C] , 25:10:11:14:11:413
[02] , [5B] , [00] , [9E] , [00] , [8C] , [0E] , [2F] , 25:10:11:14:11:447
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:11:546
[01] , [5B] , [00] , [9F] , [03] , [85] , [05] , [1B] , 25:10:11:14:11:546
[02] , [5A] , [00] , [9F] , [00] , [8B] , [0E] , [2F] , 25:10:11:14:11:579
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:11:679
[01] , [5A] , [00] , [A0] , [04] , [85] , [05] , [1A] , 25:10:11:14:11:679
[02] , [5B] , [00] , [A0] , [00] , [8C] , [0E] , [30] , 25:10:11:14:11:713
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:11:813
[01] , [5B] , [00] , [A1] , [04] , [85] , [05] , [1A] , 25:10:11:14:11:813
[02] , [5A] , [00] , [A2] , [01] , [8C] , [0E] , [30] , 25:10:11:14:11:846
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:11:946
[01] , [5B] , [00] , [A3] , [05] , [85] , [06] , [1B] , 25:10:11:14:11:946
