[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:17:935
[01] , [5B] , [00] , [BF] , [02] , [78] , [15] , [E0] , 25:10:10:37:17:935
[02] , [5A] , [00] , [BF] , [FA] , [75] , [F2] , [D3] , 25:10:10:37:17:969
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:18:068
[01] , [5A] , [00] , [C0] , [02] , [78] , [16] , [E1] , 25:10:10:37:18:068
[02] , [5A] , [00] , [C1] , [FC] , [76] , [F4] , [D5] , 25:10:10:37:18:102
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:18:202
[01] , [5A] , [00] , [C2] , [03] , [79] , [18] , [E4] , 25:10:10:37:18:202
[02] , [5A] , [00] , [C2] , [FD] , [76] , [F4] , [D5] , 25:10:10:37:18:235
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:18:335
[01] , [5A] , [00] , [C3] , [03] , [79] , [18] , [E4] , 25:10:10:37:18:335
[02] , [5A] , [00] , [C3] , [FE] , [76] , [F5] , [D5] , 25:10:10:37:18:368
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:18:435
[01] , [5B] , [00] , [C4] , [03] , [79] , [18] , [E5] , 25:10:10:37:18:468
[02] , [5A] , [00] , [C5] , [00] , [77] , [F7] , [D7] , 25:10:10:37:18:502
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:18:602
[01] , [5B] , [00] , [C6] , [03] , [79] , [19] , [E5] , 25:10:10:37:18:602
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:18:735
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:18:735
[01] , [5A] , [00] , [C7] , [02] , [79] , [19] , [E5] , 25:10:10:37:18:735
[02] , [5A] , [00] , [C7] , [00] , [77] , [F9] , [D6] , 25:10:10:37:18:768
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:18:901
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:18:901
[02] , [5A] , [00] , [C9] , [01] , [77] , [FB] , [D6] , 25:10:10:37:18:901
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:19:001
[01] , [5B] , [00] , [CA] , [02] , [79] , [18] , [E4] , 25:10:10:37:19:001
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:19:134
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:19:134
[01] , [5B] , [00] , [CB] , [02] , [79] , [17] , [E4] , 25:10:10:37:19:134
[02] , [5A] , [00] , [CB] , [02] , [76] , [FD] , [D4] , 25:10:10:37:19:168
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:19:268
[01] , [5A] , [00] , [CC] , [02] , [79] , [17] , [E4] , 25:10:10:37:19:268
[02] , [5A] , [00] , [CD] , [02] , [77] , [FF] , [D4] , 25:10:10:37:19:301
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:19:401
[01] , [5A] , [00] , [CE] , [00] , [79] , [16] , [E4] , 25:10:10:37:19:401
[02] , [5A] , [00] , [CE] , [02] , [77] , [FF] , [D5] , 25:10:10:37:19:434
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:19:534
[01] , [5A] , [00] , [CF] , [00] , [79] , [16] , [E3] , 25:10:10:37:19:534
[02] , [5A] , [00] , [CF] , [02] , [77] , [00] , [D4] , 25:10:10:37:19:568
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:19:634
[01] , [5B] , [00] , [D0] , [00] , [79] , [15] , [E3] , 25:10:10:37:19:668
[02] , [5A] , [00] , [D1] , [03] , [76] , [02] , [D3] , 25:10:10:37:19:701
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:19:801
[01] , [5A] , [00] , [D2] , [FF] , [79] , [15] , [E2] , 25:10:10:37:19:801
[02] , [5A] , [00] , [D2] , [03] , [76] , [03] , [D3] , 25:10:10:37:19:834
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:19:934
[01] , [5B] , [00] , [D3] , [FF] , [79] , [15] , [E2] , 25:10:10:37:19:934
[02] , [5A] , [00] , [D3] , [04] , [76] , [03] , [D3] , 25:10:10:37:19:967
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:20:067
[01] , [5B] , [00] , [D4] , [FF] , [79] , [15] , [E2] , 25:10:10:37:20:067
[02] , [5A] , [00] , [D5] , [05] , [76] , [05] , [D3] , 25:10:10:37:20:101
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:20:201
[01] , [5A] , [00] , [D6] , [00] , [79] , [15] , [E1] , 25:10:10:37:20:201
[02] , [5A] , [00] , [D6] , [06] , [76] , [06] , [D2] , 25:10:10:37:20:234
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:20:334
[01] , [5A] , [00] , [D7] , [00] , [79] , [15] , [E1] , 25:10:10:37:20:334
[02] , [5A] , [00] , [D7] , [06] , [75] , [06] , [D2] , 25:10:10:37:20:367
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:20:434
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:20:501
[02] , [5A] , [00] , [D9] , [06] , [75] , [07] , [D3] , 25:10:10:37:20:501
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:20:600
[01] , [5A] , [00] , [DA] , [00] , [79] , [16] , [E1] , 25:10:10:37:20:600
[02] , [5A] , [00] , [DA] , [06] , [75] , [07] , [D2] , 25:10:10:37:20:634
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:20:734
[01] , [5B] , [00] , [DB] , [00] , [79] , [16] , [E1] , 25:10:10:37:20:734
[02] , [5A] , [00] , [DB] , [06] , [75] , [07] , [D2] , 25:10:10:37:20:767
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:20:867
[01] , [5B] , [00] , [DC] , [00] , [79] , [16] , [E1] , 25:10:10:37:20:867
[02] , [5A] , [00] , [DD] , [06] , [75] , [06] , [D2] , 25:10:10:37:20:900
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:21:000
[01] , [5B] , [00] , [DE] , [01] , [78] , [16] , [E1] , 25:10:10:37:21:000
[02] , [5A] , [00] , [DE] , [06] , [75] , [07] , [D2] , 25:10:10:37:21:033
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:21:133
[01] , [5A] , [00] , [DF] , [01] , [78] , [16] , [E1] , 25:10:10:37:21:133
[02] , [5A] , [00] , [DF] , [07] , [75] , [07] , [D2] , 25:10:10:37:21:167
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:21:267
[01] , [5A] , [00] , [E0] , [01] , [78] , [16] , [E1] , 25:10:10:37:21:267
[02] , [5A] , [00] , [E1] , [07] , [75] , [07] , [D3] , 25:10:10:37:21:300
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:21:400
[01] , [5B] , [00] , [E2] , [01] , [78] , [16] , [E1] , 25:10:10:37:21:400
[02] , [5B] , [00] , [E2] , [07] , [76] , [07] , [D3] , 25:10:10:37:21:434
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:21:534
[01] , [5B] , [00] , [E3] , [01] , [78] , [16] , [E1] , 25:10:10:37:21:534
[02] , [5A] , [00] , [E3] , [07] , [75] , [07] , [D3] , 25:10:10:37:21:567
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:21:634
[01] , [5A] , [00] , [E4] , [01] , [78] , [16] , [E1] , 25:10:10:37:21:667
[02] , [5B] , [00] , [E5] , [08] , [76] , [08] , [D3] , 25:10:10:37:21:700
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:21:800
[01] , [5A] , [00] , [E6] , [01] , [78] , [16] , [E1] , 25:10:10:37:21:800
[02] , [5A] , [00] , [E6] , [08] , [75] , [08] , [D3] , 25:10:10:37:21:833
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:21:933
[01] , [5A] , [00] , [E7] , [01] , [78] , [16] , [E1] , 25:10:10:37:21:933
[02] , [5A] , [00] , [E7] , [08] , [75] , [08] , [D3] , 25:10:10:37:21:966
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:22:100
